,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
8724,2014020541.0,8466141.0,L,97.05882353,100.0,95.65217391,2017020401_121,Even,False,False,100.0
5902,2017020488.0,8477424.0,W,100.0,100.0,100.0,2015020391_170,Power Play,False,False,100.0
8723,2014020541.0,8474682.0,W,97.2972973,100.0,96.77419355,2017020401_15,Even,False,False,100.0
8753,2014020309.0,8474682.0,L,85.29411765,100.0,82.14285714,2016020009_25,Power Play,False,False,100.0
8760,2014020223.0,8470147.0,L,87.5,92.30769231,83.33333333,2016020009_338,Power Play,True,False,100.0
8806,2014020441.0,8471306.0,L,88.88888889,88.88888889,88.23529412,2015021217_286,Even,False,False,100.0
8778,2014020361.0,8475883.0,W,94.11764706,100.0,88.88888889,2017020206_251,Even,False,False,100.0
8804,2014020385.0,8469608.0,L,85.0,0.0,88.88888889,2015021217_269,Even,False,False,100.0
8803,2014020385.0,8474889.0,W,100.0,100.0,100.0,2015021217_152,Power Play,False,False,100.0
8802,2014020678.0,8466141.0,L,91.30434783,100.0,87.5,2015021217_86,Even,False,False,100.0
8801,2014020678.0,8468011.0,W,95.83333333,100.0,94.44444444,2015021183_241,Even,False,False,100.0
5896,2017020415.0,8470880.0,W,95.55555556,100.0,94.44444444,2015020987_295,Even,False,False,100.0
8798,2014021226.0,8471227.0,L,78.57142857,100.0,72.72727273,2015021183_188,Even,True,False,100.0
8781,2014021075.0,8475252.0,L,93.02325581,0.0,95.0,2017020129_104,Power Play,False,False,100.0
8772,2014020232.0,8471734.0,L,89.79591837,100.0,88.0952381,2017020206_61,Power Play,False,False,100.0
8761,2014020223.0,8474651.0,W,92.30769231,100.0,90.47619048,2016020009_347,Even,False,False,100.0
8771,2014020853.0,8477202.0,W,95.45454545,100.0,94.87179487,2017021163_297,Even,True,False,100.0
8769,2014020316.0,8475683.0,L,90.32258065,75.0,91.66666667,2017021163_204,Even,False,False,100.0
